t_s,T_K,X_CH3OCH3,X_O2,X_CH2O,X_CH3OCH2O2,X_OH,X_CO,X_CO2,X_HO2,X_H2O2
4.61522723e-13,850.0000,6.544503e-02,1.963351e-01,7.370714e-22,5.464086e-21,2.216126e-22,4.459640e-40,1.872325e-46,1.953055e-16,3.999876e-25
3.89043605e-10,850.0000,6.544503e-02,1.963351e-01,5.113983e-16,3.780035e-15,1.460572e-16,3.259259e-28,5.393853e-29,1.646361e-13,2.838883e-19
1.98782519e-09,850.0000,6.544503e-02,1.963351e-01,8.040429e-15,5.911692e-14,2.096197e-15,1.448517e-25,4.831587e-26,8.412356e-13,4.652053e-18
3.58660678e-09,850.0000,6.544503e-02,1.963351e-01,2.237954e-14,1.639950e-13,5.507551e-15,1.059614e-24,3.715479e-25,1.517868e-12,1.328722e-17
5.18538836e-09,850.0000,6.544503e-02,1.963351e-01,4.356880e-14,3.181912e-13,1.011875e-14,4.494718e-24,1.621546e-24,2.194538e-12,2.654520e-17
7.76355500e-09,850.0000,6.544503e-02,1.963351e-01,9.091731e-14,6.600120e-13,1.911402e-14,3.295072e-23,1.225805e-23,3.285804e-12,5.797174e-17
1.03417216e-08,850.0000,6.544503e-02,1.963351e-01,1.529982e-13,1.104258e-12,2.925826e-14,1.304385e-22,4.903598e-23,4.377174e-12,1.018323e-16
1.29198883e-08,850.0000,6.544503e-02,1.963351e-01,2.279935e-13,1.636088e-12,3.978017e-14,3.852718e-22,1.455776e-22,5.468648e-12,1.581624e-16
1.86582900e-08,850.0000,6.544503e-02,1.963351e-01,4.326795e-13,3.064582e-12,6.219196e-14,2.718264e-21,1.031849e-21,7.898396e-12,3.283574e-16
2.43966918e-08,850.0000,6.544503e-02,1.963351e-01,6.802502e-13,4.756405e-12,8.181680e-14,1.052125e-20,3.997058e-21,1.032867e-11,5.604233e-16
3.01350935e-08,850.0000,6.544503e-02,1.963351e-01,9.606032e-13,6.630290e-12,9.803946e-14,3.043601e-20,1.156181e-20,1.275945e-11,8.543803e-16
3.65614392e-08,850.0000,6.544503e-02,1.963351e-01,1.304333e-12,8.871602e-12,1.126766e-13,8.165599e-20,3.100458e-20,1.548224e-11,1.257061e-15
4.29877849e-08,850.0000,6.544503e-02,1.963351e-01,1.672767e-12,1.120983e-11,1.245419e-13,1.874102e-19,7.111913e-20,1.820562e-11,1.737396e-15
4.94141306e-08,850.0000,6.544503e-02,1.963351e-01,2.061566e-12,1.361042e-11,1.345792e-13,3.835348e-19,1.454627e-19,2.092958e-11,2.295403e-15
5.58404764e-08,850.0000,6.544503e-02,1.963351e-01,2.468055e-12,1.605219e-11,1.434479e-13,7.190186e-19,2.725552e-19,2.365409e-11,2.931097e-15
6.22668221e-08,850.0000,6.544503e-02,1.963351e-01,2.890489e-12,1.852140e-11,1.515451e-13,1.257579e-18,4.764708e-19,2.637911e-11,3.644493e-15
6.86931678e-08,850.0000,6.544503e-02,1.963351e-01,3.327666e-12,2.100871e-11,1.591095e-13,2.079004e-18,7.873423e-19,2.910461e-11,4.435605e-15
7.51195135e-08,850.0000,6.544503e-02,1.963351e-01,3.778744e-12,2.350764e-11,1.663001e-13,3.280295e-18,1.241789e-18,3.183058e-11,5.304447e-15
8.49987962e-08,850.0000,6.544503e-02,1.963351e-01,4.498026e-12,2.736231e-11,1.768768e-13,6.142206e-18,2.323946e-18,3.602209e-11,6.791754e-15
9.48780789e-08,850.0000,6.544503e-02,1.963351e-01,5.247394e-12,3.122391e-11,1.871253e-13,1.068572e-17,4.041182e-18,4.021455e-11,8.462834e-15
1.04757362e-07,850.0000,6.544503e-02,1.963351e-01,6.026034e-12,3.508684e-11,1.972127e-13,1.752333e-17,6.624519e-18,4.440789e-11,1.031773e-14
1.28729648e-07,850.0000,6.544503e-02,1.963351e-01,8.034142e-12,4.444752e-11,2.215503e-13,4.843749e-17,1.829797e-17,5.458629e-11,1.558306e-14
1.52701935e-07,850.0000,6.544503e-02,1.963351e-01,1.020847e-11,5.378408e-11,2.458959e-13,1.108777e-16,4.186371e-17,6.476849e-11,2.193135e-14
