t_s,T_K,X_CH3OCH3,X_O2,X_CH2O,X_CH3OCH2O2,X_OH,X_CO,X_CO2,X_HO2,X_H2O2
2.33975563e-15,1200.0000,6.544503e-02,1.963351e-01,2.156182e-21,1.034010e-22,1.532117e-23,1.696396e-37,9.803331e-42,1.635986e-15,3.688331e-25
4.62243849e-12,1200.0000,6.544503e-02,1.963351e-01,8.407897e-15,4.030283e-16,5.985166e-17,4.231263e-27,6.271235e-31,3.234652e-12,1.439987e-18
1.91232536e-11,1200.0000,6.544503e-02,1.963351e-01,8.993926e-14,4.308763e-15,6.417098e-16,1.873183e-25,9.347596e-29,1.339889e-11,1.542752e-17
3.36240688e-11,1200.0000,6.544503e-02,1.963351e-01,2.449298e-13,1.172926e-14,1.750419e-15,8.977966e-25,6.502981e-28,2.358575e-11,4.206005e-17
4.81248840e-11,1200.0000,6.544503e-02,1.963351e-01,4.794165e-13,2.294907e-14,3.431890e-15,2.729588e-24,2.688108e-27,3.379710e-11,8.241939e-17
6.26256991e-11,1200.0000,6.544503e-02,1.963351e-01,7.953413e-13,3.805613e-14,5.703088e-15,6.536929e-24,8.421676e-27,4.403355e-11,1.368895e-16
9.43060160e-11,1200.0000,6.544503e-02,1.963351e-01,1.771415e-12,8.467117e-14,1.275627e-14,3.077944e-23,8.444283e-26,6.648561e-11,3.057720e-16
1.56841239e-10,1200.0000,6.544503e-02,1.963351e-01,4.845609e-12,2.310988e-13,3.520768e-14,2.396499e-22,1.953782e-24,1.111595e-10,8.415976e-16
2.70531445e-10,1200.0000,6.544502e-02,1.963351e-01,1.431028e-11,6.797359e-13,1.056610e-13,2.180782e-21,5.053322e-23,1.935792e-10,2.513628e-15
3.84221650e-10,1200.0000,6.544502e-02,1.963351e-01,2.874134e-11,1.360448e-12,2.151307e-13,7.988647e-21,2.759214e-22,2.775437e-10,5.097906e-15
4.97911856e-10,1200.0000,6.544502e-02,1.963351e-01,4.809200e-11,2.268755e-12,3.646638e-13,2.096709e-20,9.711223e-22,3.630449e-10,8.610685e-15
6.11602061e-10,1200.0000,6.544502e-02,1.963351e-01,7.231449e-11,3.400156e-12,5.552936e-13,4.566098e-20,2.684483e-21,4.500743e-10,1.306854e-14
7.25292267e-10,1200.0000,6.544502e-02,1.963351e-01,1.013612e-10,4.750225e-12,7.880195e-13,8.798499e-20,6.327430e-21,5.386235e-10,1.848810e-14
8.86711971e-10,1200.0000,6.544502e-02,1.963351e-01,1.508013e-10,7.034645e-12,1.192558e-12,1.927362e-19,1.758229e-20,6.669424e-10,2.786611e-14
1.04813168e-09,1200.0000,6.544502e-02,1.963351e-01,2.097493e-10,9.740139e-12,1.686305e-12,3.732363e-19,4.129223e-20,7.982852e-10,3.925991e-14
1.20955138e-09,1200.0000,6.544502e-02,1.963351e-01,2.780719e-10,1.285490e-11,2.271793e-12,6.638506e-19,8.649226e-20,9.326272e-10,5.271754e-14
1.37097108e-09,1199.9999,6.544502e-02,1.963351e-01,3.556385e-10,1.636757e-11,2.951404e-12,1.108157e-18,1.662656e-19,1.069943e-09,6.828692e-14
1.68810450e-09,1199.9999,6.544502e-02,1.963351e-01,5.344785e-10,2.438793e-11,4.568643e-12,2.662912e-18,5.071883e-19,1.348290e-09,1.052029e-13
