t_s,T_K,X_CH3OCH3,X_O2,X_CH2O,X_CH3OCH2O2,X_OH,X_CO,X_CO2,X_HO2,X_H2O2
1.68055127e-11,700.0000,6.544503e-02,1.963351e-01,1.290398e-21,4.151919e-20,6.020369e-22,1.576716e-39,4.763188e-44,2.897045e-17,2.792736e-25
5.20938051e-09,700.0000,6.544503e-02,1.963351e-01,8.582754e-17,2.746771e-15,2.468068e-17,7.601669e-29,2.161167e-29,8.980251e-15,2.674846e-20
1.45266736e-08,700.0000,6.544503e-02,1.963351e-01,3.559122e-16,1.136646e-14,8.378447e-17,8.601229e-28,2.489848e-28,2.504193e-14,1.268592e-19
2.38439667e-08,700.0000,6.544503e-02,1.963351e-01,7.365149e-16,2.346447e-14,1.371882e-16,4.496378e-27,1.315158e-27,4.110355e-14,3.042174e-19
5.59473043e-08,700.0000,6.544503e-02,1.963351e-01,2.324311e-15,7.338090e-14,2.285531e-16,4.775031e-25,1.416284e-25,9.644433e-14,1.583450e-18
8.80506418e-08,700.0000,6.544503e-02,1.963351e-01,4.125755e-15,1.292256e-13,2.391376e-16,2.853031e-24,8.466596e-25,1.517843e-13,3.873272e-18
1.20153979e-07,700.0000,6.544503e-02,1.963351e-01,5.957057e-15,1.851401e-13,2.295215e-16,1.016235e-23,3.016201e-24,2.071233e-13,7.179339e-18
3.07285585e-07,700.0000,6.544503e-02,1.963351e-01,1.737606e-14,5.031614e-13,2.419566e-16,7.192515e-21,2.133485e-21,5.296630e-13,6.403449e-17
4.94417190e-07,700.0000,6.544503e-02,1.963351e-01,2.962546e-14,8.187564e-13,2.646674e-16,3.542211e-20,1.050646e-20,8.521705e-13,1.555083e-16
6.81548795e-07,700.0000,6.544503e-02,1.963351e-01,4.271102e-14,1.132311e-12,2.893240e-16,1.064753e-19,3.158003e-20,1.174645e-12,2.815972e-16
8.68680400e-07,700.0000,6.544503e-02,1.963351e-01,5.662872e-14,1.443892e-12,3.153438e-16,2.503624e-19,7.425381e-20,1.497086e-12,4.422976e-16
1.60921296e-06,700.0000,6.544503e-02,1.963351e-01,1.202789e-13,2.657496e-12,4.313869e-16,3.006651e-18,8.916459e-19,2.772725e-12,1.439481e-15
2.34974551e-06,700.0000,6.544503e-02,1.963351e-01,1.952218e-13,3.846723e-12,5.638837e-16,1.135116e-17,3.366178e-18,4.047895e-12,2.918196e-15
3.09027807e-06,700.0000,6.544503e-02,1.963351e-01,2.822268e-13,5.011433e-12,7.129876e-16,3.028812e-17,8.981756e-18,5.322566e-12,4.918393e-15
4.34974802e-06,700.0000,6.544503e-02,1.963351e-01,4.581681e-13,6.941273e-12,1.001411e-15,1.134643e-16,3.364640e-17,7.489328e-12,9.555903e-15
5.60921798e-06,700.0000,6.544503e-02,1.963351e-01,6.688147e-13,8.813333e-12,1.329531e-15,2.961361e-16,8.781430e-17,9.654693e-12,1.575181e-14
6.86868793e-06,700.0000,6.544503e-02,1.963351e-01,9.135592e-13,1.063556e-11,1.692278e-15,6.328739e-16,1.876669e-16,1.181873e-11,2.350947e-14
8.12815788e-06,700.0000,6.544503e-02,1.963351e-01,1.191813e-12,1.241520e-11,2.085037e-15,1.188728e-15,3.524929e-16,1.398154e-11,3.282940e-14
1.01787569e-05,700.0000,6.544503e-02,1.963351e-01,1.715231e-12,1.523775e-11,2.778475e-15,2.761719e-15,8.189258e-16,1.750052e-11,5.134495e-14
1.22293560e-05,700.0000,6.544503e-02,1.963351e-01,2.324433e-12,1.798541e-11,3.527465e-15,5.455396e-15,1.617668e-15,2.101693e-11,7.399834e-14
1.42799550e-05,700.0000,6.544503e-02,1.963351e-01,3.018011e-12,2.067697e-11,4.320281e-15,9.670489e-15,2.867544e-15,2.453131e-11,1.007870e-13
1.78815224e-05,700.0000,6.544503e-02,1.963351e-01,4.437822e-12,2.530891e-11,5.794129e-15,2.214607e-14,6.566842e-15,3.070064e-11,1.578414e-13
2.14830898e-05,700.0000,6.544503e-02,1.963351e-01,6.111923e-12,2.986832e-11,7.342259e-15,4.326705e-14,1.282969e-14,3.686872e-11,2.276402e-13
2.50846571e-05,700.0000,6.544503e-02,1.963351e-01,8.039115e-12,3.439364e-11,8.942583e-15,7.571890e-14,2.245237e-14,4.303895e-11,3.101840e-13
2.86862245e-05,700.0000,6.544503e-02,1.963351e-01,1.021978e-11,3.890850e-11,1.058270e-14,1.222979e-13,3.626405e-14,4.921480e-11,4.054806e-13
3.22877919e-05,700.0000,6.544503e-02,1.963351e-01,1.265526e-11,4.342838e-11,1.225558e-14,1.858616e-13,5.511203e-14,5.539983e-11,5.135454e-13
3.58893593e-05,700.0000,6.544503e-02,1.963351e-01,1.534748e-11,4.796429e-11,1.395711e-14,2.692999e-13,7.985323e-14,6.159760e-11,6.344009e-13
3.94909266e-05,700.0000,6.544503e-02,1.963351e-01,1.829879e-11,5.252462e-11,1.568486e-14,3.755219e-13,1.113503e-13,6.781170e-11,7.680773e-13
4.30924940e-05,700.0000,6.544503e-02,1.963351e-01,2.151185e-11,5.711602e-11,1.743758e-14,5.074500e-13,1.504697e-13,7.404570e-11,9.146120e-13
4.86666021e-05,700.0000,6.544503e-02,1.963351e-01,2.700784e-11,6.429531e-11,2.019884e-14,7.691593e-13,2.280719e-13,8.374158e-11,1.166864e-12
5.42407101e-05,700.0000,6.544503e-02,1.963351e-01,3.315015e-11,7.157853e-11,2.301951e-14,1.110390e-12,3.292536e-13,9.350697e-11,1.450230e-12
5.98148182e-05,700.0000,6.544503e-02,1.963351e-01,3.995200e-11,7.898003e-11,2.590185e-14,1.542107e-12,4.572666e-13,1.033551e-10,1.764952e-12
6.53889263e-05,700.0000,6.544503e-02,1.963351e-01,4.742783e-11,8.651243e-11,2.884929e-14,2.075339e-12,6.153807e-13,1.132993e-10,2.111314e-12
7.39861863e-05,700.0000,6.544503e-02,1.963351e-01,6.031641e-11,9.841430e-11,3.353242e-14,3.122576e-12,9.259073e-13,1.288559e-10,2.708360e-12
8.25834462e-05,700.0000,6.544503e-02,1.963351e-01,7.490755e-11,1.106998e-10,3.839555e-14,4.478934e-12,1.328094e-12,1.447215e-10,3.382891e-12
9.11807062e-05,700.0000,6.544503e-02,1.963351e-01,9.126858e-11,1.234127e-10,4.345503e-14,6.186183e-12,1.834328e-12,1.609457e-10,4.136539e-12
1.05214507e-04,700.0000,6.544503e-02,1.963351e-01,1.219740e-10,1.451995e-10,5.218074e-14,9.838331e-12,2.917262e-12,1.883306e-10,5.541835e-12
1.19248307e-04,700.0000,6.544503e-02,1.963351e-01,1.579510e-10,1.684440e-10,6.155364e-14,1.473032e-11,4.367832e-12,2.170278e-10,7.172753e-12
1.33282108e-04,700.0000,6.544503e-02,1.963351e-01,1.996002e-10,1.933554e-10,7.165649e-14,2.106116e-11,6.245053e-12,2.472686e-10,9.040690e-12
1.47315908e-04,700.0000,6.544503e-02,1.963351e-01,2.473751e-10,2.201552e-10,8.257778e-14,2.904063e-11,8.611123e-12,2.792946e-10,1.115905e-11
1.61349709e-04,700.0000,6.544503e-02,1.963351e-01,3.017835e-10,2.490793e-10,9.441248e-14,3.889116e-11,1.153200e-11,3.133611e-10,1.354327e-11
1.83188909e-04,700.0000,6.544502e-02,1.963351e-01,4.010008e-10,2.989184e-10,1.148905e-13,5.850714e-11,1.734852e-11,3.710793e-10,1.782453e-11
2.05028110e-04,700.0000,6.544502e-02,1.963351e-01,5.201044e-10,3.555647e-10,1.382570e-13,8.421050e-11,2.497007e-11,4.355128e-10,2.287003e-11
2.26867310e-04,700.0000,6.544502e-02,1.963351e-01,6.619354e-10,4.201933e-10,1.649941e-13,1.170943e-10,3.472076e-11,5.079009e-10,2.877152e-11
2.48706511e-04,700.0000,6.544502e-02,1.963351e-01,8.298023e-10,4.941362e-10,1.956509e-13,1.583934e-10,4.696675e-11,5.896402e-10,3.563724e-11
2.70545711e-04,700.0000,6.544502e-02,1.963351e-01,1.027548e-09,5.789113e-10,2.308549e-13,2.095110e-10,6.212410e-11,6.823142e-10,4.359415e-11
2.92384912e-04,700.0000,6.544502e-02,1.963351e-01,1.259628e-09,6.762533e-10,2.713251e-13,2.720470e-10,8.066726e-11,7.877264e-10,5.279043e-11
3.14224112e-04,700.0001,6.544502e-02,1.963351e-01,1.531198e-09,7.881489e-10,3.178865e-13,3.478311e-10,1.031387e-10,9.079368e-10,6.339846e-11
3.36063312e-04,700.0001,6.544502e-02,1.963351e-01,1.848215e-09,9.168777e-10,3.714869e-13,4.389598e-10,1.301601e-10,1.045304e-09,7.561833e-11
3.57902513e-04,700.0001,6.544502e-02,1.963351e-01,2.217563e-09,1.065059e-09,4.332160e-13,5.478394e-10,1.624451e-10,1.202535e-09,8.968184e-11
3.79741713e-04,700.0001,6.544502e-02,1.963351e-01,2.647190e-09,1.235704e-09,5.043283e-13,6.772356e-10,2.008135e-10,1.382737e-09,1.058573e-10
4.01580914e-04,700.0001,6.544502e-02,1.963351e-01,3.146265e-09,1.432279e-09,5.862678e-13,8.303291e-10,2.462087e-10,1.589486e-09,1.244549e-10
4.23420114e-04,700.0001,6.544501e-02,1.963351e-01,3.725371e-09,1.658776e-09,6.806978e-13,1.010781e-09,2.997162e-10,1.826895e-09,1.458330e-10
4.45259315e-04,700.0002,6.544501e-02,1.963351e-01,4.396711e-09,1.919790e-09,7.895348e-13,1.222807e-09,3.625860e-10,2.099698e-09,1.704058e-10
4.67098515e-04,700.0002,6.544501e-02,1.963351e-01,5.174363e-09,2.220617e-09,9.149869e-13,1.471262e-09,4.362578e-10,2.413350e-09,1.986513e-10
4.88937715e-04,700.0002,6.544501e-02,1.963350e-01,6.074560e-09,2.567361e-09,1.059599e-12,1.761741e-09,5.223905e-10,2.774131e-09,2.311213e-10
5.10776916e-04,700.0002,6.544501e-02,1.963350e-01,7.116021e-09,2.967053e-09,1.226304e-12,2.100691e-09,6.228955e-10,3.189280e-09,2.684527e-10
5.32616116e-04,700.0003,6.544500e-02,1.963350e-01,8.320329e-09,3.427801e-09,1.418483e-12,2.495540e-09,7.399757e-10,3.667138e-09,3.113806e-10
5.54455317e-04,700.0003,6.544500e-02,1.963350e-01,9.712372e-09,3.958946e-09,1.640035e-12,2.954851e-09,8.761705e-10,4.217315e-09,3.607534e-10
5.76294517e-04,700.0004,6.544499e-02,1.963350e-01,1.132084e-08,4.571261e-09,1.895450e-12,3.488496e-09,1.034406e-09,4.850890e-09,4.175499e-10
