idx,equation,idt_ms,S
20,H2O2 (+M) <=> 2 OH (+M),5.830635e-01,-0.40060
31,2 HO2 <=> H2O2 + O2,8.466689e-01,0.13754
156,CH2O + HO2 <=> H2O2 + HCO,6.370620e-01,-0.27282
429,CH3OCH3 (+M) <=> CH3 + CH3O (+M),7.711902e-01,0.00283
430,CH3OCH3 + OH <=> CH3OCH2 + H2O,5.328722e-01,-0.53047
431,CH3OCH3 + H <=> CH3OCH2 + H2,6.914989e-01,-0.15453
432,CH3OCH3 + O <=> CH3OCH2 + OH,7.686253e-01,-0.00198
433,CH3OCH3 + HO2 <=> CH3OCH2 + H2O2,6.352343e-01,-0.27697
436,CH3OCH3 + O2 <=> CH3OCH2 + HO2,7.678158e-01,-0.00350
444,CH3OCH2 <=> CH2O + CH3,1.039389e+00,0.43341
445,CH3OCH2 + O2 <=> CH3OCH2O2,6.490558e-01,-0.24591
446,CH3OCH2 + O2 <=> CH2OCH2O2H,7.646587e-01,-0.00944
447,CH3OCH2 + O2 => 2 CH2O + OH,7.980114e-01,0.05215
448,CH3OCH2O2 <=> CH2OCH2O2H,7.040299e-01,-0.12862
449,CH3OCH2O2 => 2 CH2O + OH,9.681384e-01,0.33096
451,CH2OCH2O2H + O2 <=> O2CH2OCH2O2H,4.544683e-01,-0.76008
452,CH2OCH2O2H + O2 <=> HO2CH2OCHO + OH,7.568834e-01,-0.02419
453,O2CH2OCH2O2H <=> HO2CH2OCHO + OH,7.344483e-01,-0.06760
454,2 CH3OCH2O2 => 2 CH3OCH2O + O2,7.746907e-01,0.00936
458,HO2CH2OCHO <=> OCH2OCHO + OH,7.550755e-01,-0.02764
450,CH2OCH2O2H => 2 CH2O + OH,1.255478e+00,0.70591
455,CH2O + CH3OCH2O2 <=> CH3OCH2O2H + HCO,7.610693e-01,-0.01623
457,CH3OCH2O + OH <=> CH3OCH2O2H,7.695781e-01,-0.00019
21,H + H2O2 <=> H2O + OH,7.689533e-01,-0.00136
