P_bar,phi,T_K,invT_1000K,idt_total_ms,idt_first_ms
40.0,1.0,625.0,1.600000,2.175166e+01,nan
40.0,1.0,650.0,1.538462,8.862041e+00,nan
40.0,1.0,675.0,1.481481,3.925859e+00,nan
40.0,1.0,700.0,1.428571,1.875849e+00,nan
40.0,1.0,720.0,1.388889,1.152567e+00,1.093853e+00
40.0,1.0,740.0,1.351351,7.361175e-01,6.668001e-01
40.0,1.0,760.0,1.315789,5.068488e-01,4.247046e-01
40.0,1.0,780.0,1.282051,3.800366e-01,2.826940e-01
40.0,1.0,800.0,1.250000,3.116603e-01,1.967327e-01
40.0,1.0,825.0,1.212121,2.728971e-01,1.333967e-01
40.0,1.0,850.0,1.176471,2.627118e-01,9.748936e-02
40.0,1.0,875.0,1.142857,2.667960e-01,7.787981e-02
40.0,1.0,900.0,1.111111,2.777044e-01,7.020953e-02
40.0,1.0,925.0,1.081081,2.954382e-01,nan
40.0,1.0,950.0,1.052632,3.203795e-01,nan
40.0,1.0,975.0,1.025641,3.309761e-01,nan
40.0,1.0,1000.0,1.000000,3.178447e-01,nan
40.0,1.0,1050.0,0.952381,2.558676e-01,nan
40.0,1.0,1100.0,0.909091,1.883654e-01,nan
40.0,1.0,1150.0,0.869565,1.287303e-01,nan
40.0,1.0,1200.0,0.833333,8.152790e-02,nan
40.0,1.0,1250.0,0.800000,4.869253e-02,nan
40.0,1.0,1300.0,0.769231,2.833981e-02,nan
